time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
2019 to 20,East Midlands,A level,Design and technology,D&T Systems & Control,0.0,,,,,,
2019 to 20,East Midlands,A level,Law,Total Law,737.0,9.22659,23.74491,50.4749,77.74763,93.08005,98.37178
2019 to 20,East Midlands,A level,Design and technology,D&T Engineering,40.0,12.5,37.5,60.0,72.5,87.5,92.5
2019 to 20,East Midlands,A level,Classical studies,Ancient History,31.0,3.22581,25.80645,51.6129,87.09677,100.0,100.0
2019 to 20,East Midlands,A level,Physical Education,Physical Education/Sports Studies,857.0,9.68495,28.12135,55.07585,83.66394,95.91599,99.53326
2019 to 20,East Midlands,A level,General studies,Critical Thinking,0.0,,,,,,
2019 to 20,East Midlands,A level,Music,Music,233.0,12.01717,39.05579,69.09871,90.55794,98.28326,100.0
2019 to 20,East Midlands,A level,Business Studies,Total Business Studies,2612.0,6.20214,22.89433,53.40735,83.92037,96.63093,99.34916
2019 to 20,East Midlands,A level,Art & Design,3d Studies,50.0,14.0,26.0,64.0,86.0,98.0,100.0
2019 to 20,East Midlands,A level,Modern languages,French,446.0,14.12556,43.27354,70.17937,91.25561,98.43049,99.10314
2019 to 20,East Midlands,A level,Design and technology,D&T Textiles Technology,78.0,7.69231,26.92308,66.66667,88.46154,100.0,100.0
2019 to 20,East Midlands,A level,Anthropology,Total Anthropology,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Italian,34.0,26.47059,70.58824,85.29412,94.11765,94.11765,94.11765
