time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci 
2020 to 21,East Midlands,All,Further Maths & Biology,2,0,0.0
2020 to 21,North East,Female,Biology & Chemistry & Physics,3,18,0.358
2020 to 21,London,Female,Biology & Chemistry & Physics,3,80,0.344
2020 to 21,South West,Female,Biology & Chemistry & Physics,3,48,0.411
2020 to 21,West Midlands,Female,Biology & Chemistry & Physics,3,65,0.483
2020 to 21,North West,Female,Biology & Chemistry & Physics,3,59,0.351
2020 to 21,Yorkshire and The Humber,Female,Biology & Chemistry & Physics,3,50,0.429
2020 to 21,South East,Female,Biology & Chemistry & Physics,3,88,0.372
2020 to 21,East of England,Female,Biology & Chemistry & Physics,3,64,0.428
2020 to 21,East Midlands,Female,Biology & Chemistry & Physics,3,56,0.555
2020 to 21,North East,Female,Maths & Biology & Chemistry,3,252,5.008
2020 to 21,London,Female,Maths & Biology & Chemistry,3,1861,8.013
2020 to 21,South West,Female,Maths & Biology & Chemistry,3,539,4.619
2020 to 21,West Midlands,Female,Maths & Biology & Chemistry,3,792,5.885
2020 to 21,North West,Female,Maths & Biology & Chemistry,3,1008,6.004
2020 to 21,Yorkshire and The Humber,Female,Maths & Biology & Chemistry,3,630,5.411
2020 to 21,South East,Female,Maths & Biology & Chemistry,3,1254,5.302
2020 to 21,East of England,Female,Maths & Biology & Chemistry,3,746,4.984
2020 to 21,East Midlands,Female,Maths & Biology & Chemistry,3,516,5.113
2020 to 21,North East,Male,Chemistry,1,33,0.876
2020 to 21,London,Male,Chemistry,1,112,0.617
2020 to 21,South West,Male,Chemistry,1,80,0.849
2020 to 21,West Midlands,Male,Chemistry,1,92,0.882
2020 to 21,North West,Male,Chemistry,1,97,0.778
2020 to 21,Yorkshire and The Humber,Male,Chemistry,1,72,0.83
2020 to 21,South East,Male,Chemistry,1,134,0.683
2020 to 21,East of England,Male,Chemistry,1,87,0.706
2020 to 21,East Midlands,Male,Chemistry,1,79,1.034
2020 to 21,North East,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,London,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South West,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North West,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South East,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East of England,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North East,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,London,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South West,All,Further Maths & Physics & Computer Science,3,1,0.005
2020 to 21,West Midlands,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,North West,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,Yorkshire and The Humber,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South East,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East of England,All,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East Midlands,All,Further Maths & Physics & Computer Science,3,1,0.006
2020 to 21,North East,Female,Maths & Further Maths & Chemistry & Physics,4,9,0.179
2020 to 21,London,Female,Maths & Further Maths & Chemistry & Physics,4,89,0.383
2020 to 21,South West,Female,Maths & Further Maths & Chemistry & Physics,4,43,0.369
2020 to 21,West Midlands,Female,Maths & Further Maths & Chemistry & Physics,4,31,0.23
2020 to 21,North West,Female,Maths & Further Maths & Chemistry & Physics,4,37,0.22
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths & Chemistry & Physics,4,37,0.318
2020 to 21,South East,Female,Maths & Further Maths & Chemistry & Physics,4,85,0.359
2020 to 21,East of England,Female,Maths & Further Maths & Chemistry & Physics,4,68,0.454
2020 to 21,East Midlands,Female,Maths & Further Maths & Chemistry & Physics,4,28,0.277
2020 to 21,North East,Female,Physics & Computer Science,2,0,0.0
2020 to 21,London,Female,Physics & Computer Science,2,6,0.026
2020 to 21,South West,Female,Physics & Computer Science,2,2,0.017
2020 to 21,West Midlands,Female,Physics & Computer Science,2,2,0.015
2020 to 21,North West,Female,Physics & Computer Science,2,1,0.006
2020 to 21,Yorkshire and The Humber,Female,Physics & Computer Science,2,0,0.0
2020 to 21,South East,Female,Physics & Computer Science,2,3,0.013
2020 to 21,East of England,Female,Physics & Computer Science,2,3,0.02
2020 to 21,East Midlands,Female,Physics & Computer Science,2,5,0.05
2020 to 21,North East,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,London,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South West,Male,Further Maths & Physics & Computer Science,3,1,0.011
2020 to 21,West Midlands,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,North West,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South East,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East of England,Male,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East Midlands,Male,Further Maths & Physics & Computer Science,3,1,0.013
2020 to 21,North East,All,Maths & Biology & Chemistry,3,431,4.898
2020 to 21,London,All,Maths & Biology & Chemistry,3,3147,7.607
2020 to 21,South West,All,Maths & Biology & Chemistry,3,886,4.2
2020 to 21,West Midlands,All,Maths & Biology & Chemistry,3,1448,6.061
2020 to 21,North West,All,Maths & Biology & Chemistry,3,1748,5.975
2020 to 21,Yorkshire and The Humber,All,Maths & Biology & Chemistry,3,1057,5.201
2020 to 21,South East,All,Maths & Biology & Chemistry,3,2064,4.771
2020 to 21,East of England,All,Maths & Biology & Chemistry,3,1225,4.489
2020 to 21,East Midlands,All,Maths & Biology & Chemistry,3,860,4.851
2020 to 21,North East,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,London,Female,Further Maths & Chemistry,2,1,0.004
2020 to 21,South West,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,West Midlands,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,North West,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,South East,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,East of England,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,East Midlands,Female,Further Maths & Chemistry,2,0,0.0
2020 to 21,North East,Male,Biology & Chemistry & Physics,3,17,0.451
2020 to 21,London,Male,Biology & Chemistry & Physics,3,55,0.303
2020 to 21,South West,Male,Biology & Chemistry & Physics,3,62,0.658
2020 to 21,West Midlands,Male,Biology & Chemistry & Physics,3,92,0.882
2020 to 21,North West,Male,Biology & Chemistry & Physics,3,68,0.546
2020 to 21,Yorkshire and The Humber,Male,Biology & Chemistry & Physics,3,48,0.553
2020 to 21,South East,Male,Biology & Chemistry & Physics,3,79,0.403
2020 to 21,East of England,Male,Biology & Chemistry & Physics,3,59,0.479
2020 to 21,East Midlands,Male,Biology & Chemistry & Physics,3,59,0.773
2020 to 21,North East,Male,Maths & Biology & Chemistry,3,179,4.751
2020 to 21,London,Male,Maths & Biology & Chemistry,3,1286,7.088
2020 to 21,South West,Male,Maths & Biology & Chemistry,3,347,3.681
2020 to 21,West Midlands,Male,Maths & Biology & Chemistry,3,656,6.287
2020 to 21,North West,Male,Maths & Biology & Chemistry,3,740,5.937
2020 to 21,Yorkshire and The Humber,Male,Maths & Biology & Chemistry,3,427,4.92
2020 to 21,South East,Male,Maths & Biology & Chemistry,3,810,4.13
2020 to 21,East of England,Male,Maths & Biology & Chemistry,3,479,3.888
2020 to 21,East Midlands,Male,Maths & Biology & Chemistry,3,344,4.504
2020 to 21,North East,All,Chemistry,1,80,0.909
2020 to 21,London,All,Chemistry,1,302,0.73
2020 to 21,South West,All,Chemistry,1,161,0.763
2020 to 21,West Midlands,All,Chemistry,1,227,0.95
2020 to 21,North West,All,Chemistry,1,260,0.889
2020 to 21,Yorkshire and The Humber,All,Chemistry,1,168,0.827
2020 to 21,South East,All,Chemistry,1,340,0.786
2020 to 21,East of England,All,Chemistry,1,190,0.696
2020 to 21,East Midlands,All,Chemistry,1,194,1.094
2020 to 21,North East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,London,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East of England,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North East,All,Maths & Biology & Chemistry & Computer Science,4,1,0.011
2020 to 21,London,All,Maths & Biology & Chemistry & Computer Science,4,10,0.024
2020 to 21,South West,All,Maths & Biology & Chemistry & Computer Science,4,0,0.0
2020 to 21,West Midlands,All,Maths & Biology & Chemistry & Computer Science,4,1,0.004
2020 to 21,North West,All,Maths & Biology & Chemistry & Computer Science,4,7,0.024
2020 to 21,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Computer Science,4,2,0.01
2020 to 21,South East,All,Maths & Biology & Chemistry & Computer Science,4,3,0.007
2020 to 21,East of England,All,Maths & Biology & Chemistry & Computer Science,4,7,0.026
2020 to 21,East Midlands,All,Maths & Biology & Chemistry & Computer Science,4,4,0.023
2020 to 21,North East,Male,Maths & Biology & Computer Science,3,4,0.106
2020 to 21,London,Male,Maths & Biology & Computer Science,3,31,0.171
2020 to 21,South West,Male,Maths & Biology & Computer Science,3,14,0.149
2020 to 21,West Midlands,Male,Maths & Biology & Computer Science,3,19,0.182
2020 to 21,North West,Male,Maths & Biology & Computer Science,3,20,0.16
2020 to 21,Yorkshire and The Humber,Male,Maths & Biology & Computer Science,3,6,0.069
2020 to 21,South East,Male,Maths & Biology & Computer Science,3,34,0.173
2020 to 21,East of England,Male,Maths & Biology & Computer Science,3,19,0.154
2020 to 21,East Midlands,Male,Maths & Biology & Computer Science,3,14,0.183
2020 to 21,North East,Male,Physics & Computer Science,2,11,0.292
2020 to 21,London,Male,Physics & Computer Science,2,29,0.16
2020 to 21,South West,Male,Physics & Computer Science,2,22,0.233
2020 to 21,West Midlands,Male,Physics & Computer Science,2,36,0.345
2020 to 21,North West,Male,Physics & Computer Science,2,36,0.289
2020 to 21,Yorkshire and The Humber,Male,Physics & Computer Science,2,25,0.288
2020 to 21,South East,Male,Physics & Computer Science,2,42,0.214
2020 to 21,East of England,Male,Physics & Computer Science,2,43,0.349
2020 to 21,East Midlands,Male,Physics & Computer Science,2,35,0.458
2020 to 21,North East,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,London,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,South West,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,West Midlands,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,North West,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Biology & Physics & Computer Science,3,1,0.009
2020 to 21,South East,Female,Biology & Physics & Computer Science,3,0,0.0
2020 to 21,East of England,Female,Biology & Physics & Computer Science,3,1,0.007
2020 to 21,East Midlands,Female,Biology & Physics & Computer Science,3,1,0.01
2020 to 21,North East,Female,Maths & Biology & Computer Science,3,4,0.079
2020 to 21,London,Female,Maths & Biology & Computer Science,3,11,0.047
2020 to 21,South West,Female,Maths & Biology & Computer Science,3,2,0.017
2020 to 21,West Midlands,Female,Maths & Biology & Computer Science,3,4,0.03
2020 to 21,North West,Female,Maths & Biology & Computer Science,3,7,0.042
2020 to 21,Yorkshire and The Humber,Female,Maths & Biology & Computer Science,3,2,0.017
2020 to 21,South East,Female,Maths & Biology & Computer Science,3,8,0.034
2020 to 21,East of England,Female,Maths & Biology & Computer Science,3,6,0.04
2020 to 21,East Midlands,Female,Maths & Biology & Computer Science,3,5,0.05
2020 to 21,North East,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,London,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,South West,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,West Midlands,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,North West,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,South East,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,East of England,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,East Midlands,Male,Further Maths & Chemistry,2,0,0.0
2020 to 21,North East,All,Biology & Chemistry & Physics,3,35,0.398
2020 to 21,London,All,Biology & Chemistry & Physics,3,135,0.326
2020 to 21,South West,All,Biology & Chemistry & Physics,3,110,0.521
2020 to 21,West Midlands,All,Biology & Chemistry & Physics,3,157,0.657
2020 to 21,North West,All,Biology & Chemistry & Physics,3,127,0.434
2020 to 21,Yorkshire and The Humber,All,Biology & Chemistry & Physics,3,98,0.482
2020 to 21,South East,All,Biology & Chemistry & Physics,3,167,0.386
2020 to 21,East of England,All,Biology & Chemistry & Physics,3,123,0.451
2020 to 21,East Midlands,All,Biology & Chemistry & Physics,3,115,0.649
2020 to 21,North East,Male,Maths & Biology & Chemistry & Physics,4,6,0.159
2020 to 21,London,Male,Maths & Biology & Chemistry & Physics,4,72,0.397
2020 to 21,South West,Male,Maths & Biology & Chemistry & Physics,4,20,0.212
2020 to 21,West Midlands,Male,Maths & Biology & Chemistry & Physics,4,30,0.288
2020 to 21,North West,Male,Maths & Biology & Chemistry & Physics,4,22,0.176
2020 to 21,Yorkshire and The Humber,Male,Maths & Biology & Chemistry & Physics,4,22,0.253
2020 to 21,South East,Male,Maths & Biology & Chemistry & Physics,4,69,0.352
2020 to 21,East of England,Male,Maths & Biology & Chemistry & Physics,4,36,0.292
2020 to 21,East Midlands,Male,Maths & Biology & Chemistry & Physics,4,20,0.262
2020 to 21,North East,Female,Physics,1,8,0.159
2020 to 21,London,Female,Physics,1,56,0.241
2020 to 21,South West,Female,Physics,1,42,0.36
2020 to 21,West Midlands,Female,Physics,1,51,0.379
2020 to 21,North West,Female,Physics,1,21,0.125
2020 to 21,Yorkshire and The Humber,Female,Physics,1,18,0.155
2020 to 21,South East,Female,Physics,1,77,0.326
2020 to 21,East of England,Female,Physics,1,41,0.274
2020 to 21,East Midlands,Female,Physics,1,40,0.396
2020 to 21,North East,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2020 to 21,London,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2020 to 21,South West,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2020 to 21,West Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.007
2020 to 21,North West,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2020 to 21,South East,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.004
2020 to 21,East of England,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.013
2020 to 21,East Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.02
